UF,Ano,CID10,Total
AC,2008,Preterm [premature] newborn [other],18
AC,2008,"Pneumonia, unspecified organism",15
AC,2008,"Congenital malformation of heart, unspecified",14
AC,2008,Others,228
AC,2009,Sepsis of newborn due to other and unspecified streptococci,30
AC,2009,"Pneumonia, unspecified organism",22
AC,2009,Newborn respiratory distress syndrome,16
AC,2009,Preterm [premature] newborn [other],16
AC,2009,Unattended death,11
AC,2009,Others,239
AC,2010,Sepsis of newborn due to other and unspecified streptococci,24
AC,2010,Newborn respiratory distress syndrome,21
AC,2010,Unattended death,19
AC,2010,Ill-defined and unknown cause of mortality,12
AC,2010,Preterm [premature] newborn [other],10
AC,2010,Others,213
AC,2011,Newborn respiratory distress syndrome,27
AC,2011,Ill-defined and unknown cause of mortality,14
AC,2011,Preterm [premature] newborn [other],12
AC,2011,"Pneumonia, unspecified organism",11
AC,2011,Sepsis of newborn due to other and unspecified streptococci,10
AC,2011,Others,200
AC,2012,Newborn respiratory distress syndrome,22
AC,2012,Ill-defined and unknown cause of mortality,16
AC,2012,"Infectious gastroenteritis and colitis, unspecified",15
AC,2012,"Congenital malformation of heart, unspecified",15
AC,2012,"Bacterial sepsis of newborn, unspecified",12
AC,2012,Others,209
AC,2013,"Bacterial sepsis of newborn, unspecified",34
AC,2013,Newborn respiratory distress syndrome,28
AC,2013,Ill-defined and unknown cause of mortality,14
AC,2013,"Birth asphyxia, unspecified",13
AC,2013,"Congenital malformation of heart, unspecified",13
AC,2013,Others,198
AC,2014,"Bacterial sepsis of newborn, unspecified",26
AC,2014,Newborn respiratory distress syndrome,23
AC,2014,"Pneumonia, unspecified organism",18
AC,2014,"Congenital malformation of heart, unspecified",16
AC,2014,"Infectious gastroenteritis and colitis, unspecified",11
AC,2014,Others,214
AC,2015,"Bacterial sepsis of newborn, unspecified",30
AC,2015,Newborn respiratory distress syndrome,25
AC,2015,"Congenital malformation of heart, unspecified",20
AC,2015,"Pneumonia, unspecified organism",15
AC,2015,"Infectious gastroenteritis and colitis, unspecified",10
AC,2015,Others,208
AM,2000,Unattended death,196
AM,2000,Newborn respiratory distress syndrome,188
AM,2000,"Bacterial sepsis of newborn, unspecified",153
AM,2000,"Condition originating in the perinatal period, unspecified",129
AM,2000,Respiratory failure of newborn,123
AM,2000,Others,1082
AM,2001,Newborn respiratory distress syndrome,150
AM,2001,Unattended death,138
AM,2001,"Condition originating in the perinatal period, unspecified",133
AM,2001,Respiratory failure of newborn,125
AM,2001,"Bacterial sepsis of newborn, unspecified",112
AM,2001,Others,994
AM,2002,Unattended death,209
AM,2002,Newborn respiratory distress syndrome,163
AM,2002,"Bacterial sepsis of newborn, unspecified",110
AM,2002,"Condition originating in the perinatal period, unspecified",103
AM,2002,Respiratory failure of newborn,90
AM,2002,Others,919
AM,2003,Unattended death,217
AM,2003,Newborn respiratory distress syndrome,140
AM,2003,"Bacterial sepsis of newborn, unspecified",110
AM,2003,"Condition originating in the perinatal period, unspecified",107
AM,2003,Respiratory failure of newborn,85
AM,2003,Others,850
AM,2004,Unattended death,131
AM,2004,"Condition originating in the perinatal period, unspecified",101
AM,2004,"Bacterial sepsis of newborn, unspecified",90
AM,2004,Newborn respiratory distress syndrome,77
AM,2004,"Pneumonia, unspecified organism",63
AM,2004,Others,860
AM,2005,Unattended death,110
AM,2005,Newborn respiratory distress syndrome,83
AM,2005,"Infectious gastroenteritis and colitis, unspecified",83
AM,2005,"Bacterial sepsis of newborn, unspecified",82
AM,2005,"Condition originating in the perinatal period, unspecified",75
AM,2005,Others,893
AM,2006,Unattended death,109
AM,2006,"Bacterial sepsis of newborn, unspecified",100
AM,2006,Newborn respiratory distress syndrome,79
AM,2006,"Condition originating in the perinatal period, unspecified",67
AM,2006,"Congenital malformation of heart, unspecified",61
AM,2006,Others,947
AM,2007,Unattended death,100
AM,2007,"Bacterial sepsis of newborn, unspecified",93
AM,2007,Newborn respiratory distress syndrome,67
AM,2007,"Condition originating in the perinatal period, unspecified",56
AM,2007,"Infectious gastroenteritis and colitis, unspecified",51
AM,2007,Others,858
AM,2008,"Bacterial sepsis of newborn, unspecified",86
AM,2008,Newborn respiratory distress syndrome,86
AM,2008,Unattended death,71
AM,2008,"Condition originating in the perinatal period, unspecified",64
AM,2008,"Pneumonia, unspecified organism",62
AM,2008,Others,865
AM,2009,"Bacterial sepsis of newborn, unspecified",97
AM,2009,Newborn respiratory distress syndrome,85
AM,2009,Unattended death,68
AM,2009,"Infectious gastroenteritis and colitis, unspecified",55
AM,2009,"Congenital malformation of heart, unspecified",49
AM,2009,Others,887
AM,2010,"Bacterial sepsis of newborn, unspecified",72
AM,2010,Newborn respiratory distress syndrome,71
AM,2010,Unattended death,69
AM,2010,"Pneumonia, unspecified organism",43
AM,2010,"Infectious gastroenteritis and colitis, unspecified",43
AM,2010,Others,858
AM,2011,Newborn respiratory distress syndrome,78
AM,2011,"Bacterial sepsis of newborn, unspecified",53
AM,2011,"Condition originating in the perinatal period, unspecified",52
AM,2011,"Congenital malformation of heart, unspecified",44
AM,2011,Unattended death,43
AM,2011,Others,879
AM,2012,Newborn respiratory distress syndrome,88
AM,2012,"Congenital malformation of heart, unspecified",64
AM,2012,"Bacterial sepsis of newborn, unspecified",53
AM,2012,"Pneumonia, unspecified organism",51
AM,2012,Unattended death,51
AM,2012,Others,927
AM,2013,Newborn respiratory distress syndrome,112
AM,2013,"Pneumonia, unspecified organism",98
AM,2013,"Bacterial sepsis of newborn, unspecified",76
AM,2013,"Congenital malformation of heart, unspecified",65
AM,2013,"Infectious gastroenteritis and colitis, unspecified",51
AM,2013,Others,936
AM,2014,Newborn respiratory distress syndrome,118
AM,2014,"Bacterial sepsis of newborn, unspecified",74
AM,2014,"Pneumonia, unspecified organism",62
AM,2014,"Infectious gastroenteritis and colitis, unspecified",47
AM,2014,"Congenital malformation of heart, unspecified",45
AM,2014,Others,905
AM,2015,Newborn respiratory distress syndrome,122
AM,2015,"Bacterial sepsis of newborn, unspecified",74
AM,2015,"Pneumonia, unspecified organism",50
AM,2015,"Congenital malformation of heart, unspecified",42
AM,2015,"Infectious gastroenteritis and colitis, unspecified",39
AM,2015,Others,893
RR,2000,Newborn respiratory distress syndrome,12
RR,2000,Ill-defined and unknown cause of mortality,10
RR,2000,Unattended death,9
RR,2000,"Congenital malformation of heart, unspecified",9
RR,2000,Respiratory failure of newborn,8
RR,2000,Others,118
RR,2001,Newborn respiratory distress syndrome,24
RR,2001,"Infectious gastroenteritis and colitis, unspecified",8
RR,2001,"Congenital malformation of heart, unspecified",8
RR,2001,Unattended death,8
RR,2001,"Bacterial sepsis of newborn, unspecified",6
RR,2001,Others,107
RR,2002,Newborn respiratory distress syndrome,13
RR,2002,"Congenital malformation of heart, unspecified",8
RR,2002,Respiratory failure of newborn,8
RR,2002,"Infectious gastroenteritis and colitis, unspecified",6
RR,2002,"Birth asphyxia, unspecified",4
RR,2002,Others,72
RR,2003,"Infectious gastroenteritis and colitis, unspecified",21
RR,2003,Newborn respiratory distress syndrome,15
RR,2003,"Pneumonia, unspecified organism",11
RR,2003,"Congenital malformation of heart, unspecified",9
RR,2003,"Bronchopneumonia, unspecified organism",9
RR,2003,Others,95
RR,2004,"Pneumonia, unspecified organism",17
RR,2004,Newborn respiratory distress syndrome,15
RR,2004,"Congenital malformation of heart, unspecified",13
RR,2004,Ill-defined and unknown cause of mortality,10
RR,2004,Unspecified severe protein-calorie malnutrition,8
RR,2004,Others,116
RR,2005,"Pneumonia, unspecified organism",16
RR,2005,Newborn respiratory distress syndrome,14
RR,2005,"Infectious gastroenteritis and colitis, unspecified",8
RR,2005,"Congenital malformation of heart, unspecified",8
RR,2005,Ill-defined and unknown cause of mortality,7
RR,2005,Others,118
RR,2006,"Infectious gastroenteritis and colitis, unspecified",21
RR,2006,Newborn respiratory distress syndrome,12
RR,2006,"Bacterial sepsis of newborn, unspecified",12
RR,2006,"Pneumonia, unspecified organism",10
RR,2006,Assault by unspecified means - unspecified location,8
RR,2006,Others,140
RR,2007,Newborn respiratory distress syndrome,14
RR,2007,Ill-defined and unknown cause of mortality,10
RR,2007,"Pneumonia, unspecified organism",9
RR,2007,"Congenital malformation of heart, unspecified",8
RR,2007,Extremely low birth weight newborn,8
RR,2007,Others,117
RR,2008,Newborn respiratory distress syndrome,22
RR,2008,"Pneumonia, unspecified organism",16
RR,2008,"Congenital malformation of heart, unspecified",11
RR,2008,Assault by unspecified means - specified locations,7
RR,2008,"Sepsis, unspecified organism",6
RR,2008,Others,106
RR,2009,Newborn respiratory distress syndrome,20
RR,2009,"Pneumonia, unspecified organism",14
RR,2009,"Infectious gastroenteritis and colitis, unspecified",12
RR,2009,Assault by unspecified means - specified locations,9
RR,2009,"Bacterial sepsis of newborn, unspecified",9
RR,2009,Others,114
RR,2010,Newborn respiratory distress syndrome,12
RR,2010,"Congenital malformation of heart, unspecified",9
RR,2010,"Pneumonia, unspecified organism",9
RR,2010,Extremely low birth weight newborn,7
RR,2010,"Bacterial sepsis of newborn, unspecified",6
RR,2010,Others,84
RR,2011,Newborn respiratory distress syndrome,19
RR,2011,"Congenital malformation of heart, unspecified",9
RR,2011,Necrotizing enterocolitis of newborn,6
RR,2011,Other specified congenital malformations of heart,5
RR,2011,"Bacterial sepsis of newborn, unspecified",5
RR,2011,Others,80
RR,2012,Assault by unspecified means - unspecified location,40
RR,2012,Newborn respiratory distress syndrome,19
RR,2012,"Pneumonia, unspecified organism",15
RR,2012,"Bacterial sepsis of newborn, unspecified",8
RR,2012,"Infectious gastroenteritis and colitis, unspecified",6
RR,2012,Others,107
RR,2013,"Pneumonia, unspecified organism",25
RR,2013,Assault by unspecified means - specified locations,25
RR,2013,Newborn respiratory distress syndrome,18
RR,2013,"Bacterial sepsis of newborn, unspecified",12
RR,2013,Assault by unspecified means - unspecified location,7
RR,2013,Others,119
RR,2014,Newborn respiratory distress syndrome,22
RR,2014,Assault by unspecified means - specified locations,21
RR,2014,"Pneumonia, unspecified organism",20
RR,2014,"Bacterial sepsis of newborn, unspecified",16
RR,2014,"Condition originating in the perinatal period, unspecified",10
RR,2014,Others,132
RR,2015,Assault by unspecified means - unspecified location,19
RR,2015,Newborn respiratory distress syndrome,17
RR,2015,"Respiratory distress of newborn, unspecified",8
RR,2015,"Pneumonia, unspecified organism",8
RR,2015,Ill-defined and unknown cause of mortality,8
RR,2015,Others,129
PA,2000,Unattended death,383
PA,2000,"Bacterial sepsis of newborn, unspecified",313
PA,2000,Newborn respiratory distress syndrome,255
PA,2000,Respiratory failure of newborn,234
PA,2000,"Birth asphyxia, unspecified",118
PA,2000,Others,1781
PA,2001,"Bacterial sepsis of newborn, unspecified",363
PA,2001,Unattended death,293
PA,2001,Respiratory failure of newborn,247
PA,2001,Newborn respiratory distress syndrome,168
PA,2001,"Birth asphyxia, unspecified",122
PA,2001,Others,1934
PA,2002,Unattended death,350
PA,2002,"Bacterial sepsis of newborn, unspecified",324
PA,2002,Newborn respiratory distress syndrome,195
PA,2002,Respiratory failure of newborn,178
PA,2002,"Pneumonia, unspecified organism",112
PA,2002,Others,1733
PA,2003,"Bacterial sepsis of newborn, unspecified",339
PA,2003,Unattended death,274
PA,2003,Newborn respiratory distress syndrome,263
PA,2003,Preterm [premature] newborn [other],176
PA,2003,"Sepsis, unspecified organism",129
PA,2003,Others,1981
PA,2004,"Bacterial sepsis of newborn, unspecified",397
PA,2004,Unattended death,282
PA,2004,Newborn respiratory distress syndrome,185
PA,2004,Preterm [premature] newborn [other],184
PA,2004,"Birth asphyxia, unspecified",157
PA,2004,Others,1897
PA,2005,"Bacterial sepsis of newborn, unspecified",334
PA,2005,Unattended death,216
PA,2005,Newborn respiratory distress syndrome,168
PA,2005,Preterm [premature] newborn [other],155
PA,2005,"Sepsis, unspecified organism",134
PA,2005,Others,1943
PA,2006,"Bacterial sepsis of newborn, unspecified",349
PA,2006,Newborn respiratory distress syndrome,179
PA,2006,Unattended death,158
PA,2006,"Pneumonia, unspecified organism",118
PA,2006,"Sepsis, unspecified organism",116
PA,2006,Others,2012
PA,2007,"Bacterial sepsis of newborn, unspecified",322
PA,2007,Newborn respiratory distress syndrome,177
PA,2007,Preterm [premature] newborn [other],146
PA,2007,"Pneumonia, unspecified organism",114
PA,2007,Unattended death,102
PA,2007,Others,1889
PA,2008,"Bacterial sepsis of newborn, unspecified",322
PA,2008,Newborn respiratory distress syndrome,210
PA,2008,Preterm [premature] newborn [other],122
PA,2008,"Pneumonia, unspecified organism",104
PA,2008,"Sepsis, unspecified organism",84
PA,2008,Others,1844
PA,2009,"Bacterial sepsis of newborn, unspecified",255
PA,2009,Newborn respiratory distress syndrome,199
PA,2009,Preterm [premature] newborn [other],112
PA,2009,"Pneumonia, unspecified organism",90
PA,2009,"Birth asphyxia, unspecified",83
PA,2009,Others,1823
PA,2010,"Bacterial sepsis of newborn, unspecified",215
PA,2010,Newborn respiratory distress syndrome,158
PA,2010,Preterm [premature] newborn [other],134
PA,2010,"Birth asphyxia, unspecified",87
PA,2010,Extreme immaturity of newborn,80
PA,2010,Others,1797
PA,2011,"Bacterial sepsis of newborn, unspecified",234
PA,2011,Newborn respiratory distress syndrome,150
PA,2011,Preterm [premature] newborn [other],119
PA,2011,"Sepsis, unspecified organism",92
PA,2011,"Pneumonia, unspecified organism",76
PA,2011,Others,1728
PA,2012,"Bacterial sepsis of newborn, unspecified",213
PA,2012,Newborn respiratory distress syndrome,142
PA,2012,Preterm [premature] newborn [other],105
PA,2012,Extreme immaturity of newborn,88
PA,2012,"Pneumonia, unspecified organism",87
PA,2012,Others,1632
PA,2013,"Bacterial sepsis of newborn, unspecified",214
PA,2013,Newborn respiratory distress syndrome,134
PA,2013,"Pneumonia, unspecified organism",110
PA,2013,Preterm [premature] newborn [other],102
PA,2013,"Birth asphyxia, unspecified",72
PA,2013,Others,1618
PA,2014,"Bacterial sepsis of newborn, unspecified",193
PA,2014,Newborn respiratory distress syndrome,106
PA,2014,Preterm [premature] newborn [other],99
PA,2014,"Pneumonia, unspecified organism",78
PA,2014,"Sepsis, unspecified organism",58
PA,2014,Others,1647
PA,2015,"Bacterial sepsis of newborn, unspecified",189
PA,2015,Newborn respiratory distress syndrome,105
PA,2015,Preterm [premature] newborn [other],96
PA,2015,"Pneumonia, unspecified organism",81
PA,2015,Meconium aspiration,58
PA,2015,Others,1541
AP,2000,Respiratory failure of newborn,55
AP,2000,"Bacterial sepsis of newborn, unspecified",37
AP,2000,"Birth asphyxia, unspecified",24
AP,2000,Extreme immaturity of newborn,12
AP,2000,Primary atelectasis of newborn,11
AP,2000,Others,180
AP,2001,Respiratory failure of newborn,58
AP,2001,"Bacterial sepsis of newborn, unspecified",41
AP,2001,"Sepsis, unspecified organism",15
AP,2001,Newborn respiratory distress syndrome,14
AP,2001,Severe birth asphyxia,13
AP,2001,Others,199
AP,2002,Respiratory failure of newborn,54
AP,2002,"Bacterial sepsis of newborn, unspecified",21
AP,2002,Severe birth asphyxia,18
AP,2002,"Infection specific to the perinatal period, unspecified",11
AP,2002,Newborn respiratory distress syndrome,11
AP,2002,Others,226
AP,2003,"Bacterial sepsis of newborn, unspecified",38
AP,2003,Respiratory failure of newborn,36
AP,2003,Newborn respiratory distress syndrome,25
AP,2003,"Pneumonia, unspecified organism",13
AP,2003,Severe birth asphyxia,11
AP,2003,Others,173
AP,2004,Respiratory failure of newborn,39
AP,2004,"Bacterial sepsis of newborn, unspecified",35
AP,2004,Newborn respiratory distress syndrome,25
AP,2004,Severe birth asphyxia,14
AP,2004,Preterm [premature] newborn [other],11
AP,2004,Others,183
AP,2005,Respiratory failure of newborn,48
AP,2005,"Bacterial sepsis of newborn, unspecified",23
AP,2005,Severe birth asphyxia,16
AP,2005,Newborn respiratory distress syndrome,16
AP,2005,Sepsis of newborn due to other and unspecified streptococci,14
AP,2005,Others,170
AP,2006,"Bacterial sepsis of newborn, unspecified",45
AP,2006,Extreme immaturity of newborn,25
AP,2006,Severe birth asphyxia,20
AP,2006,Extremely low birth weight newborn,15
AP,2006,Newborn respiratory distress syndrome,15
AP,2006,Others,205
AP,2007,"Bacterial sepsis of newborn, unspecified",56
AP,2007,Extreme immaturity of newborn,28
AP,2007,"Infection specific to the perinatal period, unspecified",19
AP,2007,Meconium aspiration,13
AP,2007,Extremely low birth weight newborn,13
AP,2007,Others,179
AP,2008,"Bacterial sepsis of newborn, unspecified",38
AP,2008,Extremely low birth weight newborn,19
AP,2008,"Infection specific to the perinatal period, unspecified",18
AP,2008,Severe birth asphyxia,16
AP,2008,"Pneumonia, unspecified organism",15
AP,2008,Others,254
AP,2009,"Bacterial sepsis of newborn, unspecified",63
AP,2009,Extremely low birth weight newborn,13
AP,2009,"Infection specific to the perinatal period, unspecified",13
AP,2009,"Sepsis, unspecified organism",12
AP,2009,Extreme immaturity of newborn,10
AP,2009,Others,230
AP,2010,"Bacterial sepsis of newborn, unspecified",50
AP,2010,Preterm [premature] newborn [other],23
AP,2010,"Birth asphyxia, unspecified",16
AP,2010,Severe birth asphyxia,14
AP,2010,"Infection specific to the perinatal period, unspecified",13
AP,2010,Others,190
AP,2011,"Bacterial sepsis of newborn, unspecified",76
AP,2011,Preterm [premature] newborn [other],18
AP,2011,"Infection specific to the perinatal period, unspecified",16
AP,2011,"Respiratory distress of newborn, unspecified",10
AP,2011,"Birth asphyxia, unspecified",9
AP,2011,Others,189
AP,2012,"Bacterial sepsis of newborn, unspecified",62
AP,2012,Severe birth asphyxia,18
AP,2012,Extremely low birth weight newborn,17
AP,2012,"Congenital malformation of heart, unspecified",16
AP,2012,Newborn respiratory distress syndrome,14
AP,2012,Others,202
AP,2013,"Bacterial sepsis of newborn, unspecified",37
AP,2013,Extremely low birth weight newborn,27
AP,2013,"Infection specific to the perinatal period, unspecified",18
AP,2013,Severe birth asphyxia,16
AP,2013,"Congenital malformation of heart, unspecified",15
AP,2013,Others,211
AP,2014,"Bacterial sepsis of newborn, unspecified",42
AP,2014,Extremely low birth weight newborn,24
AP,2014,Severe birth asphyxia,17
AP,2014,"Pneumonia, unspecified organism",16
AP,2014,"Infection specific to the perinatal period, unspecified",14
AP,2014,Others,206
AP,2015,"Bacterial sepsis of newborn, unspecified",40
AP,2015,Extremely low birth weight newborn,19
AP,2015,"Infection specific to the perinatal period, unspecified",16
AP,2015,Ill-defined and unknown cause of mortality,15
AP,2015,Severe birth asphyxia,12
AP,2015,Others,189
TO,2000,Respiratory failure of newborn,58
TO,2000,"Infectious gastroenteritis and colitis, unspecified",39
TO,2000,Unattended death,36
TO,2000,Newborn respiratory distress syndrome,35
TO,2000,"Bacterial sepsis of newborn, unspecified",26
TO,2000,Others,415
TO,2001,"Infectious gastroenteritis and colitis, unspecified",56
TO,2001,Newborn respiratory distress syndrome,53
TO,2001,Respiratory failure of newborn,51
TO,2001,Unattended death,36
TO,2001,"Bacterial sepsis of newborn, unspecified",34
TO,2001,Others,390
TO,2002,Respiratory failure of newborn,55
TO,2002,"Infectious gastroenteritis and colitis, unspecified",45
TO,2002,Newborn respiratory distress syndrome,41
TO,2002,"Bacterial sepsis of newborn, unspecified",27
TO,2002,"Birth asphyxia, unspecified",23
TO,2002,Others,369
TO,2003,Newborn respiratory distress syndrome,45
TO,2003,"Bacterial sepsis of newborn, unspecified",33
TO,2003,"Infectious gastroenteritis and colitis, unspecified",31
TO,2003,Preterm [premature] newborn [other],26
TO,2003,"Congenital pneumonia, unspecified",25
TO,2003,Others,359
TO,2004,Newborn respiratory distress syndrome,48
TO,2004,Preterm [premature] newborn [other],35
TO,2004,"Infectious gastroenteritis and colitis, unspecified",31
TO,2004,"Bacterial sepsis of newborn, unspecified",31
TO,2004,"Pneumonia, unspecified organism",26
TO,2004,Others,340
TO,2005,Preterm [premature] newborn [other],34
TO,2005,Newborn respiratory distress syndrome,32
TO,2005,"Pneumonia, unspecified organism",23
TO,2005,"Bacterial sepsis of newborn, unspecified",21
TO,2005,"Infectious gastroenteritis and colitis, unspecified",19
TO,2005,Others,319
TO,2006,Newborn respiratory distress syndrome,48
TO,2006,Preterm [premature] newborn [other],26
TO,2006,"Bacterial sepsis of newborn, unspecified",23
TO,2006,"Pneumonia, unspecified organism",20
TO,2006,Extreme immaturity of newborn,18
TO,2006,Others,347
TO,2007,Newborn respiratory distress syndrome,29
TO,2007,"Congenital malformation of heart, unspecified",26
TO,2007,"Pneumonia, unspecified organism",21
TO,2007,"Bacterial sepsis of newborn, unspecified",20
TO,2007,Meconium aspiration,19
TO,2007,Others,311
TO,2008,Newborn respiratory distress syndrome,38
TO,2008,"Bacterial sepsis of newborn, unspecified",22
TO,2008,Preterm [premature] newborn [other],17
TO,2008,"Infection specific to the perinatal period, unspecified",15
TO,2008,"Congenital malformation of heart, unspecified",12
TO,2008,Others,274
TO,2009,Newborn respiratory distress syndrome,40
TO,2009,"Pneumonia, unspecified organism",20
TO,2009,"Bacterial sepsis of newborn, unspecified",19
TO,2009,Extreme immaturity of newborn,13
TO,2009,Ill-defined and unknown cause of mortality,13
TO,2009,Others,291
TO,2010,Newborn respiratory distress syndrome,26
TO,2010,"Pneumonia, unspecified organism",20
TO,2010,Extreme immaturity of newborn,18
TO,2010,Meconium aspiration,17
TO,2010,"Bacterial sepsis of newborn, unspecified",17
TO,2010,Others,288
TO,2011,"Pneumonia, unspecified organism",20
TO,2011,"Bacterial sepsis of newborn, unspecified",18
